DATE,Log_Return
2021-03-19,0.00057682896
2021-03-20,-0.011649122
2021-03-21,-0.005492871
2021-03-22,-0.041368295
2021-03-23,-0.028382618
2021-03-24,0.012561412
2021-03-25,0.003399372
2021-03-26,0.022383736
2021-03-27,0.0064088088
2021-03-28,0.0035811516
2021-03-29,-0.03198052
2021-03-30,-0.015310169
2021-03-31,0.02235824
2021-04-01,-0.020137072
2021-04-02,0.0026225992
2021-04-03,-0.0011888924
2021-04-04,-0.016766593
2021-04-05,0.0046806387
2021-04-06,0.01457701
2021-04-07,0.010831919
2021-04-08,0.010097182
2021-04-09,0.008788583
2021-04-10,-0.00039432797
2021-04-11,-0.013422865
2021-04-12,0.001642455
2021-04-13,0.002837803
2021-04-14,-0.01670712
2021-04-15,-0.0074724825
2021-04-16,0.0051895934
2021-04-17,-0.032500844
2021-04-18,0.025728272
2021-04-19,0.008259896
2021-04-20,0.0089593865
2021-04-21,0.040334616
2021-04-22,0.015316743
2021-04-23,0.0132604325
2021-04-24,-0.014958246
2021-04-25,-0.009002591
2021-04-26,0.002810232
2021-04-27,-0.025077645
2021-04-28,-0.025800042
2021-04-29,0.0030410318
2021-04-30,-0.0075272936
2021-05-01,-0.010040617
2021-05-02,0.0027995803
2021-05-03,-0.008146782
2021-05-04,-0.007043504
2021-05-05,-0.016951527
2021-05-06,0.0083256345
2021-05-07,-0.019471632
2021-05-08,0.020585304
2021-05-09,-0.0186268
2021-05-10,-0.009433225
2021-05-11,-0.006852861
2021-05-12,-0.01953065
2021-05-13,0.00998028
2021-05-14,-0.015427329
2021-05-15,0.0013095546
2021-05-16,0.01763119
2021-05-17,-0.012249696
2021-05-18,0.008801235
2021-05-19,-0.023726912
2021-05-20,-0.013197209
2021-05-21,0.0046658786
2021-05-22,-0.030212525
2021-05-23,-0.003476727
2021-05-24,-0.009656457
2021-05-25,0.016319573
2021-05-26,0.0019513585
2021-05-27,0.020106217
2021-05-28,0.01820425
2021-05-29,-0.0014165326
2021-05-30,-0.016490016
2021-05-31,0.021489227
2021-06-01,0.0023779732
2021-06-02,-0.0016387606
2021-06-03,0.00025690155
2021-06-04,-0.030942414
2021-06-05,0.024776572
2021-06-06,0.01265327
2021-06-07,-0.004189165
2021-06-08,0.019399265
2021-06-09,-0.012108171
2021-06-10,0.017489173
2021-06-11,0.01500783
2021-06-12,0.012819528
2021-06-13,0.027566804
2021-06-14,0.008161782
2021-06-15,0.005435718
2021-06-16,0.009904458
2021-06-17,-0.004968723
2021-06-18,0.017227368
2021-06-19,0.0024523784
2021-06-20,0.0049376953
2021-06-21,0.015323211
2021-06-22,0.012606828
2021-06-23,0.023370437
2021-06-24,0.0041443715
2021-06-25,0.009318314
2021-06-26,-0.006154165
2021-06-27,-0.02093711
2021-06-28,0.024262158
2021-06-29,-0.00040365962
2021-06-30,0.026390325
2021-07-01,0.011763281
2021-07-02,0.0047248383
2021-07-03,0.014043171
2021-07-04,-0.009074819
2021-07-05,0.00020912806
2021-07-06,0.03214398
2021-07-07,0.0009201787
2021-07-08,-0.012189401
2021-07-09,0.027105937
2021-07-10,-0.018631019
2021-07-11,0.0073309075
2021-07-12,0.006023963
2021-07-13,-0.009376513
2021-07-14,0.0077219424
2021-07-15,-0.0026575576
2021-07-16,-0.014781755
2021-07-17,-0.006694797
2021-07-18,-0.013539809
2021-07-19,0.0074988315
2021-07-20,0.00201628
2021-07-21,0.01562865
2021-07-22,0.00784811
2021-07-23,0.0053106574
2021-07-24,0.016477434
2021-07-25,0.010625777
2021-07-26,0.0335387
2021-07-27,0.0067370743
2021-07-28,0.02238608
2021-07-29,0.014468695
2021-07-30,-0.0019278423
2021-07-31,0.013453882
2021-08-01,0.0028910912
2021-08-02,0.0067963363
2021-08-03,0.006020439
2021-08-04,0.0033285413
2021-08-05,0.0016993914
2021-08-06,0.020147387
2021-08-07,0.0152640045
2021-08-08,0.014116778
2021-08-09,0.011826405
2021-08-10,-0.00080130843
2021-08-11,0.020652926
2021-08-12,0.036147945
2021-08-13,-0.0076373992
2021-08-14,0.009590326
2021-08-15,0.0066048913
2021-08-16,0.0020826817
2021-08-17,0.016507192
2021-08-18,-0.0028822827
2021-08-19,0.014605117
2021-08-20,-0.003230616
2021-08-21,-0.0017955608
2021-08-22,0.004252806
2021-08-23,0.011244362
2021-08-24,0.015264622
2021-08-25,0.0039332095
2021-08-26,0.0154524725
2021-08-27,0.045386955
2021-08-28,0.018291356
2021-08-29,0.02734331
2021-08-30,0.019743465
2021-08-31,-0.018337008
2021-09-01,0.004787237
2021-09-02,0.013218216
2021-09-03,0.026392737
2021-09-04,0.02047102
2021-09-05,-0.006877961
2021-09-06,0.013920909
2021-09-07,-0.012044
2021-09-08,-0.005715755
2021-09-09,0.0072329193
2021-09-10,-0.004400654
2021-09-11,0.01510237
2021-09-12,0.0068457895
2021-09-13,0.0019735922
2021-09-14,0.0019045863
2021-09-15,0.0059866193
2021-09-16,0.00564001
2021-09-17,-0.0024268925
2021-09-18,-0.006742714
2021-09-19,-0.002097957
2021-09-20,-0.0069807144
2021-09-21,-0.003511351
2021-09-22,-0.0044284295
2021-09-23,0.0048784367
2021-09-24,0.0013445141
2021-09-25,-0.021537114
2021-09-26,0.012437552
2021-09-27,-0.009878529
2021-09-28,0.02034008
2021-09-29,0.0042292746
2021-09-30,0.00036501678
2021-10-01,-0.0005014877
2021-10-02,-0.015800681
2021-10-03,-0.0071093226
2021-10-04,-0.0033222751
2021-10-05,0.013746044
2021-10-06,-0.015285257
2021-10-07,-0.01174676
2021-10-08,0.0021100692
2021-10-09,-0.011793098
2021-10-10,0.022131305
2021-10-11,0.005594063
2021-10-12,-0.0020587135
2021-10-13,-0.009104317
2021-10-14,-0.0017861547
2021-10-15,0.010715825
2021-10-16,-0.010261227
2021-10-17,0.006179445
2021-10-18,-0.006381599
2021-10-19,0.017520213
2021-10-20,-0.0048414296
2021-10-21,0.011635654
2021-10-22,-0.005596039
2021-10-23,-0.0109698465
2021-10-24,-0.0004201426
2021-10-25,-0.019582037
2021-10-26,-0.015226573
2021-10-27,0.00038005377
2021-10-28,-0.0034280522
2021-10-29,0.022246104
2021-10-30,0.0004632713
2021-10-31,-0.0011260456
2021-11-01,0.014186187
2021-11-02,0.0058120554
2021-11-03,0.022965828
2021-11-04,-0.012440335
2021-11-05,-0.012993779
2021-11-06,-0.0019499777
2021-11-07,-0.00994383
2021-11-08,0.0026306584
2021-11-09,-0.0031743592
2021-11-10,0.00289736
2021-11-11,0.00055561896
2021-11-12,-0.00489163
2021-11-13,0.026297685
2021-11-14,0.020680767
2021-11-15,0.0106439805
2021-11-16,0.0042011165
2021-11-17,0.009833255
2021-11-18,-0.0007990812
2021-11-19,-0.0046824845
2021-11-20,0.002877892
2021-11-21,0.013862775
2021-11-22,0.012641401
2021-11-23,0.011561937
2021-11-24,0.020558028
2021-11-25,-0.0050399248
2021-11-26,0.022499906
2021-11-27,0.0065976176
2021-11-28,0.017850598
2021-11-29,0.0057355603
2021-11-30,0.0067250463
2021-12-01,0.017384732
2021-12-02,0.006197875
2021-12-03,0.015781714
2021-12-04,-0.001963166
2021-12-05,-0.005740687
2021-12-06,-0.012684579
2021-12-07,-2.7601252e-05
2021-12-08,0.0022142655
2021-12-09,0.010212875
2021-12-10,0.01169959
2021-12-11,0.0022451032
2021-12-12,-0.012813534
2021-12-13,0.020135414
2021-12-14,-0.00037650563
2021-12-15,0.004567491
2021-12-16,0.017380672
2021-12-17,-0.011150346
2021-12-18,0.008232418
2021-12-19,0.01373271
2021-12-20,0.011213853
2021-12-21,0.02146072
2021-12-22,-0.0012191829
2021-12-23,0.008941801
2021-12-24,-0.0056690015
2021-12-25,0.008955634
2021-12-26,0.009678611
2021-12-27,0.011413224
2021-12-28,0.0070748962
2021-12-29,-0.017676957
