pipeline,seed,metric_name,scale,value
C,46,acf_lag6_std,OD,0.0178328900693022
C,46,acf_lag7_mean,OD,-0.4188406577039386
C,46,acf_lag7_std,OD,0.0103449323930443
C,46,acf_lag8_mean,OD,-0.3797979932070459
C,46,acf_lag8_std,OD,0.0093196058647988
C,46,acf_lag9_mean,OD,-0.2444113259727908
C,46,acf_lag9_std,OD,0.0132397764160454
C,46,dtw_mean,OD,0.5693584318901129
C,46,dtw_median,OD,0.2328307903433105
C,46,dtw_std,OD,1.0488450939302176
C,46,emd,transformed,0.0154660026286861
meta,-1,v1_1_baseline_emd,transformed,0.120487890579062
A,-1,tstr_mse_mean,OD,1.3142614364624023
A,-1,tstr_mse_std,OD,0.02003800554164551
A,-1,tstr_r2_mean,OD,-4.572351556755396
A,-1,tstr_r2_std,OD,0.08495936065415867
B,-1,tstr_mse_mean,OD,0.0013915735374515255
B,-1,tstr_mse_std,OD,6.520014831974995e-05
B,-1,tstr_r2_mean,OD,0.9940998520466501
B,-1,tstr_r2_std,OD,0.00027644296800874587
C,-1,tstr_mse_mean,OD,0.0015283782655994098
C,-1,tstr_mse_std,OD,8.957594157551621e-05
C,-1,tstr_r2_mean,OD,0.9935198121383305
C,-1,tstr_r2_std,OD,0.0003797939871495377
